question,predicted_disease
Is it normal to have stomach cramps along with dizziness?,Gastritis
Experiencing itching along with mild discomfort. Do I need to see a doctor?,Fungal infections
"Recently, I noticed loss of appetite, and it's getting worse. Should I be concerned?",Hepatitis
Could vomiting be related to lack of exercise?,Food poisoning
"Whenever I exercising, I experience chills. Is this a medical condition?",Sepsis
My legs has been memory loss. What could be causing this?,Alzheimers
Experiencing congestion along with mild discomfort. Do I need to see a doctor?,Sinusitis
I've been feeling weight loss for the past few days. What could be the reason?,Cancer
Could fatigue be related to lack of exercise?,Chronic Fatigue Syndrome
I've had joint pain since last night. Could it be due to seasonal changes?,Rheumatoid arthritis
Is it normal to have excessive thirst along with weakness?,Diabetes
My stomach has been cough. What could be causing this?,Tuberculosis
I've been feeling congestion for the past few days. What could be the reason?,Sinusitis
I've been dealing with cough for a week now. What should I do?,Asthma
Could muscle pain be related to smoking?,Lyme disease
Could chills be related to lack of exercise?,COVID-19
"Recently, I noticed rash, and it's getting worse. Should I be concerned?",Allergic reaction
Can stomach cramps be a sign of something serious?,IBS
"Recently, I noticed diarrhea, and it's getting worse. Should I be concerned?",Crohns disease
Is it normal to have chills along with nausea?,Malaria
Experiencing itching along with mild discomfort. Do I need to see a doctor?,Eczema
Could swelling be related to high sugar intake?,Cellulitis
Is it normal to have sweating along with dizziness?,Anxiety
My legs has been difficulty breathing. What could be causing this?,Pulmonary edema
"Whenever I exercising, I experience chills. Is this a medical condition?",Sepsis
I've had vomiting since last night. Could it be due to poor diet?,Migraine
My arms has been shortness of breath. What could be causing this?,COPD
Can confusion be a sign of something serious?,Alzheimers
Is it normal to have cough along with dizziness?,Asthma
Could confusion be related to lack of exercise?,Brain infection encephalitis
Can memory loss be a sign of something serious?,Dementia
"Recently, I noticed memory loss, and it's getting worse. Should I be concerned?",Alzheimers
Can shortness of breath be a sign of something serious?,Pneumonia
I've had confusion since last night. Could it be due to infection?,Hypoglycemia
I've been dealing with confusion for a week now. What should I do?,Hypoglycemia
"Recently, I noticed blisters, and it's getting worse. Should I be concerned?",Chickenpox
My legs has been numbness. What could be causing this?,Peripheral neuropathy
I've been feeling confusion for the past few days. What could be the reason?,Hypoglycemia
My arms has been constipation. What could be causing this?,IBS
I've been feeling chest pain for the past few days. What could be the reason?,Pneumonia
I've been feeling constipation for the past few days. What could be the reason?,Dehydration
My arms has been memory loss. What could be causing this?,Dementia
Is it normal to have insomnia along with fatigue?,Sleep apnea
My stomach has been high fever. What could be causing this?,Dengue
"Recently, I noticed fatigue, and it's getting worse. Should I be concerned?",Hypothyroidism
Is it normal to have wheezing along with nausea?,Bronchitis
Experiencing constipation along with mild discomfort. Do I need to see a doctor?,Hypothyroidism
Is it normal to have itching along with fatigue?,Fungal infections
Experiencing high fever along with mild discomfort. Do I need to see a doctor?,Influenza
I've had abdominal pain since last night. Could it be due to lack of sleep?,Gallstones
I've had bloating since last night. Could it be due to lack of sleep?,IBS
Is it normal to have vomiting along with nausea?,Migraine
I've been feeling weakness for the past few days. What could be the reason?,Myasthenia gravis
My stomach has been memory loss. What could be causing this?,Alzheimers
I've had vomiting since last night. Could it be due to stress?,Gastroenteritis
I've been feeling redness for the past few days. What could be the reason?,Lupus
I've been feeling loss of appetite for the past few days. What could be the reason?,Gastroenteritis
Is it normal to have abdominal pain along with weakness?,Gastritis
Can bloating be a sign of something serious?,Small intestine bacterial overgrowth SIBO
I've had chest pain since last night. Could it be due to seasonal changes?,GERD
I've been dealing with memory loss for a week now. What should I do?,Brain tumor
Could chest pain be related to high sugar intake?,Pneumonia
My chest has been insomnia. What could be causing this?,Anxiety
My stomach has been insomnia. What could be causing this?,Restless leg syndrome
Can fatigue be a sign of something serious?,Depression
I've been dealing with sweating for a week now. What should I do?,Hyperthyroidism
My legs has been headache. What could be causing this?,Meningitis
I've had wheezing since last night. Could it be due to stress?,Bronchitis
Experiencing body aches along with mild discomfort. Do I need to see a doctor?,Influenza
"Recently, I noticed seizures, and it's getting worse. Should I be concerned?",Epilepsy
I've had confusion since last night. Could it be due to dehydration?,Stroke
I've had headache since last night. Could it be due to stress?,Meningitis
Could redness be related to lack of exercise?,Contact dermatitis
I've had bloating since last night. Could it be due to dehydration?,Lactose intolerance
I've been feeling itching for the past few days. What could be the reason?,Kidney disease
Can fatigue be a sign of something serious?,Anemia
Can weakness be a sign of something serious?,Neuropathy
Can chest pain be a sign of something serious?,Heart attack
Can body aches be a sign of something serious?,Lyme disease
Can loss of appetite be a sign of something serious?,Depression
Could fatigue be related to alcohol consumption?,Depression
"Recently, I noticed fatigue, and it's getting worse. Should I be concerned?",Depression
Can weakness be a sign of something serious?,Myasthenia gravis
Experiencing insomnia along with mild discomfort. Do I need to see a doctor?,Anxiety
"Recently, I noticed stomach cramps, and it's getting worse. Should I be concerned?",IBS
Is it normal to have sweating along with headache?,Tuberculosis
I've been feeling numbness for the past few days. What could be the reason?,Pinched nerve
Could chest pain be related to alcohol consumption?,Angina
I've been dealing with cough for a week now. What should I do?,Asthma
My chest has been bloating. What could be causing this?,Lactose intolerance
My head has been difficulty breathing. What could be causing this?,Asthma
Experiencing constipation along with mild discomfort. Do I need to see a doctor?,IBS
Is it normal to have excessive thirst along with nausea?,Diabetes
I've had loss of appetite since last night. Could it be due to poor diet?,Gastroenteritis
I've been feeling headache for the past few days. What could be the reason?,Meningitis
Could vomiting be related to lack of exercise?,Motion sickness
I've had fatigue since last night. Could it be due to lack of sleep?,Hypothyroidism
"Recently, I noticed fatigue, and it's getting worse. Should I be concerned?",Hypothyroidism
Is it normal to have body aches along with weakness?,Lyme disease
My back has been memory loss. What could be causing this?,Dementia
Experiencing blurred vision along with mild discomfort. Do I need to see a doctor?,Glaucoma
"Whenever I exercising, I experience seizures. Is this a medical condition?",Epilepsy
I've been dealing with chest pain for a week now. What should I do?,Angina
I've been feeling weight loss for the past few days. What could be the reason?,Diabetes
Is it normal to have numbness along with nausea?,Diabetes
Can seizures be a sign of something serious?,Meningitis
I've been dealing with cough for a week now. What should I do?,Asthma
"Whenever I climbing stairs, I experience body aches. Is this a medical condition?",Lyme disease
"Whenever I walking, I experience confusion. Is this a medical condition?",Hypoglycemia
Is it normal to have abdominal pain along with nausea?,Peptic ulcer
My arms has been joint pain. What could be causing this?,Arthritis
I've been dealing with memory loss for a week now. What should I do?,Vitamin B12 deficiency
"Recently, I noticed confusion, and it's getting worse. Should I be concerned?",Stroke
"Whenever I sitting for long hours, I experience weight loss. Is this a medical condition?",Cancer
Could confusion be related to high sugar intake?,Brain infection encephalitis
I've been dealing with joint pain for a week now. What should I do?,Gout
I've been feeling constipation for the past few days. What could be the reason?,Dehydration
Experiencing difficulty breathing along with mild discomfort. Do I need to see a doctor?,Asthma
Is it normal to have loss of appetite along with dizziness?,Depression
Experiencing diarrhea along with mild discomfort. Do I need to see a doctor?,Food poisoning
My stomach has been cough. What could be causing this?,Tuberculosis
Is it normal to have seizures along with nausea?,Stroke
I've had chills since last night. Could it be due to seasonal changes?,COVID-19
I've been feeling blisters for the past few days. What could be the reason?,Contact dermatitis
My chest has been fatigue. What could be causing this?,Depression
"Whenever I sitting for long hours, I experience confusion. Is this a medical condition?",Brain infection encephalitis
Experiencing shortness of breath along with mild discomfort. Do I need to see a doctor?,Pulmonary embolism
I've been feeling difficulty breathing for the past few days. What could be the reason?,Heart failure
I've been feeling dizziness for the past few days. What could be the reason?,Low blood pressure
Could muscle pain be related to smoking?,Polymyositis
"Recently, I noticed rash, and it's getting worse. Should I be concerned?",Psoriasis
I've been dealing with bloating for a week now. What should I do?,IBS
Is it normal to have high fever along with dizziness?,Dengue
Experiencing diarrhea along with mild discomfort. Do I need to see a doctor?,Food poisoning
"Whenever I exercising, I experience diarrhea. Is this a medical condition?",Crohns disease
"Recently, I noticed rash, and it's getting worse. Should I be concerned?",Eczema
My chest has been joint pain. What could be causing this?,Arthritis
"Whenever I exercising, I experience body aches. Is this a medical condition?",Lyme disease
Experiencing excessive thirst along with mild discomfort. Do I need to see a doctor?,Kidney disease
Could nausea be related to alcohol consumption?,Gastroenteritis
Could seizures be related to high sugar intake?,Epilepsy
Could cough be related to smoking?,Common cold
Can vomiting be a sign of something serious?,Food poisoning
I've been feeling constipation for the past few days. What could be the reason?,IBS
My head has been constipation. What could be causing this?,Colon obstruction
I've been dealing with swelling for a week now. What should I do?,Blood clot
Can loss of appetite be a sign of something serious?,Cancer
Experiencing excessive thirst along with mild discomfort. Do I need to see a doctor?,Kidney disease
Is it normal to have loss of appetite along with weakness?,Depression
Can redness be a sign of something serious?,Sunburn
"Recently, I noticed itching, and it's getting worse. Should I be concerned?",Kidney disease
Experiencing body aches along with mild discomfort. Do I need to see a doctor?,Influenza
Could redness be related to alcohol consumption?,Contact dermatitis
My back has been bloating. What could be causing this?,IBS
My back has been nausea. What could be causing this?,Acid reflux
I've had insomnia since last night. Could it be due to poor diet?,Sleep apnea
My stomach has been chest pain. What could be causing this?,Pneumonia
I've had vomiting since last night. Could it be due to poor diet?,Gastroenteritis
Is it normal to have dizziness along with fatigue?,Dehydration
"Whenever I walking, I experience weakness. Is this a medical condition?",Malnutrition
Is it normal to have dizziness along with fatigue?,Vertigo
I've been dealing with shortness of breath for a week now. What should I do?,COPD
I've had blurred vision since last night. Could it be due to seasonal changes?,Glaucoma
Experiencing constipation along with mild discomfort. Do I need to see a doctor?,Colon obstruction
"Whenever I sitting for long hours, I experience numbness. Is this a medical condition?",Pinched nerve
"Recently, I noticed vomiting, and it's getting worse. Should I be concerned?",Gastroenteritis
"Recently, I noticed loss of appetite, and it's getting worse. Should I be concerned?",Hepatitis
Could nausea be related to lack of exercise?,Gastroenteritis
Could chest pain be related to alcohol consumption?,Angina
My chest has been excessive thirst. What could be causing this?,Hypercalcemia
"Whenever I walking, I experience constipation. Is this a medical condition?",Colon obstruction
Can headache be a sign of something serious?,Hypertension
Can diarrhea be a sign of something serious?,Cholera
Experiencing weakness along with mild discomfort. Do I need to see a doctor?,Neuropathy
Is it normal to have muscle pain along with headache?,Polymyositis
Experiencing body aches along with mild discomfort. Do I need to see a doctor?,Influenza
I've been dealing with shortness of breath for a week now. What should I do?,COPD
Can headache be a sign of something serious?,Migraine
I've had muscle pain since last night. Could it be due to lack of sleep?,Polymyositis
"Recently, I noticed congestion, and it's getting worse. Should I be concerned?",Common cold
"Recently, I noticed joint pain, and it's getting worse. Should I be concerned?",Arthritis
My arms has been nausea. What could be causing this?,Acid reflux
I've been dealing with muscle pain for a week now. What should I do?,Lyme disease
I've been feeling vomiting for the past few days. What could be the reason?,Food poisoning
I've been dealing with difficulty breathing for a week now. What should I do?,Pulmonary edema
Is it normal to have confusion along with weakness?,Stroke
Could constipation be related to alcohol consumption?,Dehydration
I've been dealing with joint pain for a week now. What should I do?,Gout
Is it normal to have shortness of breath along with fatigue?,Pulmonary embolism
"Recently, I noticed seizures, and it's getting worse. Should I be concerned?",Meningitis
Is it normal to have muscle pain along with nausea?,Viral infection flu
Experiencing chills along with mild discomfort. Do I need to see a doctor?,Pneumonia
Can abdominal pain be a sign of something serious?,Gallstones
Experiencing stomach cramps along with mild discomfort. Do I need to see a doctor?,Food poisoning
"Recently, I noticed vomiting, and it's getting worse. Should I be concerned?",Motion sickness
Experiencing numbness along with mild discomfort. Do I need to see a doctor?,Multiple sclerosis
"Whenever I sitting for long hours, I experience shortness of breath. Is this a medical condition?",Heart failure
Is it normal to have cough along with nausea?,Asthma
"Recently, I noticed chills, and it's getting worse. Should I be concerned?",Sepsis
Is it normal to have chills along with weakness?,COVID-19
Can bloating be a sign of something serious?,Celiac disease
My chest has been cough. What could be causing this?,COVID-19
My chest has been seizures. What could be causing this?,Brain injury
"Recently, I noticed chills, and it's getting worse. Should I be concerned?",Malaria
"Whenever I walking, I experience chills. Is this a medical condition?",Sepsis
Is it normal to have chills along with dizziness?,COVID-19
I've been feeling stomach cramps for the past few days. What could be the reason?,Menstrual cramps
Could swelling be related to smoking?,Cellulitis
I've been dealing with seizures for a week now. What should I do?,Epilepsy
Is it normal to have insomnia along with weakness?,Restless leg syndrome
I've been dealing with body aches for a week now. What should I do?,Viral fever
Is it normal to have seizures along with headache?,Stroke
Could rash be related to smoking?,Psoriasis
Experiencing body aches along with mild discomfort. Do I need to see a doctor?,Fibromyalgia
My arms has been cough. What could be causing this?,Common cold
I've been feeling muscle pain for the past few days. What could be the reason?,Fibromyalgia
Experiencing chest pain along with mild discomfort. Do I need to see a doctor?,Heart attack
I've been dealing with blurred vision for a week now. What should I do?,Retinal detachment
I've had weight loss since last night. Could it be due to seasonal changes?,Tuberculosis
"Recently, I noticed body aches, and it's getting worse. Should I be concerned?",Viral fever
"Recently, I noticed numbness, and it's getting worse. Should I be concerned?",Pinched nerve
Can weakness be a sign of something serious?,Neuropathy
Is it normal to have difficulty breathing along with dizziness?,Asthma
I've been feeling swelling for the past few days. What could be the reason?,Blood clot
I've been feeling stomach cramps for the past few days. What could be the reason?,Food poisoning
I've been dealing with swelling for a week now. What should I do?,Blood clot
I've had congestion since last night. Could it be due to seasonal changes?,Allergies
Can sweating be a sign of something serious?,Hyperthyroidism
Can headache be a sign of something serious?,Meningitis
My legs has been chest pain. What could be causing this?,Heart attack
"Whenever I climbing stairs, I experience cough. Is this a medical condition?",COVID-19
"Recently, I noticed memory loss, and it's getting worse. Should I be concerned?",Alzheimers
Experiencing chest pain along with mild discomfort. Do I need to see a doctor?,GERD
Experiencing cough along with mild discomfort. Do I need to see a doctor?,COVID-19
Is it normal to have excessive thirst along with weakness?,Kidney disease
Could shortness of breath be related to smoking?,Pneumonia
Experiencing redness along with mild discomfort. Do I need to see a doctor?,Rosacea
I've been feeling weight loss for the past few days. What could be the reason?,Cancer
Could chills be related to high sugar intake?,COVID-19
"Whenever I climbing stairs, I experience stomach cramps. Is this a medical condition?",Gastritis
My stomach has been sweating. What could be causing this?,Menopause
Experiencing body aches along with mild discomfort. Do I need to see a doctor?,Lyme disease
My head has been seizures. What could be causing this?,Stroke
"Recently, I noticed sweating, and it's getting worse. Should I be concerned?",Hyperthyroidism
Experiencing difficulty breathing along with mild discomfort. Do I need to see a doctor?,Heart failure
Could chills be related to smoking?,Sepsis
My legs has been memory loss. What could be causing this?,Brain tumor
Is it normal to have sweating along with weakness?,Tuberculosis
Experiencing vomiting along with mild discomfort. Do I need to see a doctor?,Food poisoning
I've been dealing with redness for a week now. What should I do?,Sunburn
"Whenever I walking, I experience difficulty breathing. Is this a medical condition?",Pulmonary edema
I've been feeling difficulty breathing for the past few days. What could be the reason?,Pulmonary edema
Can weight loss be a sign of something serious?,Hyperthyroidism
"Recently, I noticed chest pain, and it's getting worse. Should I be concerned?",Pneumonia
Can constipation be a sign of something serious?,Colon obstruction
Experiencing excessive thirst along with mild discomfort. Do I need to see a doctor?,Kidney disease
I've had bloating since last night. Could it be due to lack of sleep?,Small intestine bacterial overgrowth SIBO
I've been dealing with difficulty breathing for a week now. What should I do?,Asthma
Experiencing blurred vision along with mild discomfort. Do I need to see a doctor?,Retinal detachment
I've had insomnia since last night. Could it be due to lack of sleep?,Depression
My head has been nausea. What could be causing this?,Gastroenteritis
Could chest pain be related to lack of exercise?,Pneumonia
Experiencing weakness along with mild discomfort. Do I need to see a doctor?,Malnutrition
I've had blisters since last night. Could it be due to infection?,Burns
I've been feeling muscle pain for the past few days. What could be the reason?,Viral infection flu
Is it normal to have confusion along with dizziness?,Brain infection encephalitis
Experiencing blurred vision along with mild discomfort. Do I need to see a doctor?,Glaucoma
I've been dealing with fatigue for a week now. What should I do?,Chronic Fatigue Syndrome
"Recently, I noticed diarrhea, and it's getting worse. Should I be concerned?",Cholera
I've been feeling body aches for the past few days. What could be the reason?,Lyme disease
My back has been numbness. What could be causing this?,Peripheral neuropathy
"Whenever I climbing stairs, I experience seizures. Is this a medical condition?",Meningitis
Can sweating be a sign of something serious?,Hyperthyroidism
I've been feeling confusion for the past few days. What could be the reason?,Alzheimers
Can weakness be a sign of something serious?,Myasthenia gravis
"Recently, I noticed headache, and it's getting worse. Should I be concerned?",Tension headache
I've been dealing with congestion for a week now. What should I do?,Allergies
I've had excessive thirst since last night. Could it be due to dehydration?,Kidney disease
Experiencing swelling along with mild discomfort. Do I need to see a doctor?,Angioedema
Can excessive thirst be a sign of something serious?,Dehydration
I've had bloating since last night. Could it be due to poor diet?,Celiac disease
Experiencing body aches along with mild discomfort. Do I need to see a doctor?,Lyme disease
Is it normal to have stomach cramps along with weakness?,Menstrual cramps
I've been dealing with bloating for a week now. What should I do?,IBS
Experiencing redness along with mild discomfort. Do I need to see a doctor?,Sunburn
Could nausea be related to lack of exercise?,Acid reflux
I've had confusion since last night. Could it be due to seasonal changes?,Brain infection encephalitis
Is it normal to have diarrhea along with weakness?,Food poisoning
I've been feeling memory loss for the past few days. What could be the reason?,Vitamin B12 deficiency
Could sweating be related to lack of exercise?,Anxiety
I've been dealing with chills for a week now. What should I do?,Sepsis
"Whenever I climbing stairs, I experience itching. Is this a medical condition?",Scabies
"Recently, I noticed joint pain, and it's getting worse. Should I be concerned?",Arthritis
I've been dealing with confusion for a week now. What should I do?,Stroke
"Whenever I sitting for long hours, I experience nausea. Is this a medical condition?",Acid reflux
"Whenever I sitting for long hours, I experience insomnia. Is this a medical condition?",Sleep apnea
Is it normal to have chills along with nausea?,Pneumonia
Can itching be a sign of something serious?,Fungal infections
"Whenever I climbing stairs, I experience joint pain. Is this a medical condition?",Rheumatoid arthritis
I've been dealing with excessive thirst for a week now. What should I do?,Kidney disease
Is it normal to have memory loss along with headache?,Alzheimers
Can seizures be a sign of something serious?,Brain injury
Is it normal to have chest pain along with weakness?,Angina
"Recently, I noticed blurred vision, and it's getting worse. Should I be concerned?",Diabetes
Can nausea be a sign of something serious?,Gastroenteritis
"Recently, I noticed difficulty breathing, and it's getting worse. Should I be concerned?",Asthma
I've been feeling sweating for the past few days. What could be the reason?,Tuberculosis
Could congestion be related to smoking?,Sinusitis
Experiencing blurred vision along with mild discomfort. Do I need to see a doctor?,Glaucoma
Could blisters be related to alcohol consumption?,Burns
"Whenever I exercising, I experience headache. Is this a medical condition?",Migraine
Is it normal to have weight loss along with weakness?,Cancer
Can seizures be a sign of something serious?,Meningitis
My back has been joint pain. What could be causing this?,Arthritis
Experiencing weight loss along with mild discomfort. Do I need to see a doctor?,Tuberculosis
Could blurred vision be related to smoking?,Glaucoma
I've been feeling vomiting for the past few days. What could be the reason?,Food poisoning
Could cough be related to high sugar intake?,Tuberculosis
I've been dealing with numbness for a week now. What should I do?,Diabetes
I've been dealing with body aches for a week now. What should I do?,Lyme disease
Could chest pain be related to lack of exercise?,Pneumonia
"Recently, I noticed cough, and it's getting worse. Should I be concerned?",Tuberculosis
"Recently, I noticed rash, and it's getting worse. Should I be concerned?",Psoriasis
"Recently, I noticed loss of appetite, and it's getting worse. Should I be concerned?",Gastroenteritis
"Whenever I climbing stairs, I experience dizziness. Is this a medical condition?",Anemia
I've been dealing with confusion for a week now. What should I do?,Stroke
Could headache be related to high sugar intake?,Migraine
Is it normal to have blisters along with dizziness?,Contact dermatitis
Could constipation be related to high sugar intake?,Hypothyroidism
I've had seizures since last night. Could it be due to poor diet?,Brain injury
Is it normal to have sweating along with headache?,Tuberculosis
I've been feeling excessive thirst for the past few days. What could be the reason?,Dehydration
My chest has been itching. What could be causing this?,Eczema
I've had cough since last night. Could it be due to poor diet?,Tuberculosis
I've been dealing with headache for a week now. What should I do?,Meningitis
Experiencing joint pain along with mild discomfort. Do I need to see a doctor?,Lupus
Is it normal to have itching along with nausea?,Scabies
I've been feeling insomnia for the past few days. What could be the reason?,Restless leg syndrome
"Recently, I noticed itching, and it's getting worse. Should I be concerned?",Fungal infections
I've been dealing with swelling for a week now. What should I do?,Angioedema
My stomach has been abdominal pain. What could be causing this?,Gastritis
Could high fever be related to high sugar intake?,Typhoid fever
Can fatigue be a sign of something serious?,Depression
Experiencing swelling along with mild discomfort. Do I need to see a doctor?,Cellulitis
Is it normal to have constipation along with nausea?,Colon obstruction
"Recently, I noticed stomach cramps, and it's getting worse. Should I be concerned?",IBS
Is it normal to have bloating along with weakness?,Small intestine bacterial overgrowth SIBO
Can weight loss be a sign of something serious?,Tuberculosis
Experiencing blurred vision along with mild discomfort. Do I need to see a doctor?,Glaucoma
Experiencing muscle pain along with mild discomfort. Do I need to see a doctor?,Lyme disease
My legs has been shortness of breath. What could be causing this?,Heart failure
My legs has been vomiting. What could be causing this?,Food poisoning
"Whenever I sitting for long hours, I experience nausea. Is this a medical condition?",Gastroenteritis
My back has been sweating. What could be causing this?,Tuberculosis
Is it normal to have weight loss along with weakness?,Cancer
I've been dealing with cough for a week now. What should I do?,Asthma
"Recently, I noticed body aches, and it's getting worse. Should I be concerned?",Viral fever
Experiencing chest pain along with mild discomfort. Do I need to see a doctor?,Angina
Is it normal to have shortness of breath along with headache?,Pneumonia
I've been feeling weight loss for the past few days. What could be the reason?,Tuberculosis
"Whenever I exercising, I experience headache. Is this a medical condition?",Tension headache
I've had congestion since last night. Could it be due to dehydration?,Allergies
I've been dealing with bloating for a week now. What should I do?,IBS
Is it normal to have memory loss along with weakness?,Vitamin B12 deficiency
"Recently, I noticed vomiting, and it's getting worse. Should I be concerned?",Food poisoning
Experiencing muscle pain along with mild discomfort. Do I need to see a doctor?,Viral infection flu
"Whenever I climbing stairs, I experience itching. Is this a medical condition?",Scabies
"Whenever I exercising, I experience muscle pain. Is this a medical condition?",Fibromyalgia
I've been feeling confusion for the past few days. What could be the reason?,Hypoglycemia
Can seizures be a sign of something serious?,Meningitis
Is it normal to have diarrhea along with dizziness?,Crohns disease
Can weakness be a sign of something serious?,Stroke
I've had weakness since last night. Could it be due to seasonal changes?,Myasthenia gravis
Could stomach cramps be related to high sugar intake?,Food poisoning
I've been feeling shortness of breath for the past few days. What could be the reason?,Heart failure
Could abdominal pain be related to high sugar intake?,Peptic ulcer
Is it normal to have blurred vision along with dizziness?,Retinal detachment
I've been dealing with vomiting for a week now. What should I do?,Migraine
Can confusion be a sign of something serious?,Stroke
I've had bloating since last night. Could it be due to seasonal changes?,Small intestine bacterial overgrowth SIBO
"Recently, I noticed cough, and it's getting worse. Should I be concerned?",Asthma
I've been feeling dizziness for the past few days. What could be the reason?,Low blood pressure
My stomach has been muscle pain. What could be causing this?,Fibromyalgia
My stomach has been seizures. What could be causing this?,Brain injury
"Recently, I noticed insomnia, and it's getting worse. Should I be concerned?",Sleep apnea
I've been dealing with body aches for a week now. What should I do?,Fibromyalgia
Experiencing rash along with mild discomfort. Do I need to see a doctor?,Allergic reaction
I've had cough since last night. Could it be due to stress?,Tuberculosis
I've had loss of appetite since last night. Could it be due to infection?,Gastroenteritis
Is it normal to have redness along with nausea?,Contact dermatitis
Is it normal to have weight loss along with headache?,Tuberculosis
I've been dealing with constipation for a week now. What should I do?,Hypothyroidism
I've had confusion since last night. Could it be due to stress?,Brain infection encephalitis
I've been dealing with body aches for a week now. What should I do?,Lyme disease
I've been feeling redness for the past few days. What could be the reason?,Contact dermatitis
"Whenever I walking, I experience rash. Is this a medical condition?",Psoriasis
Could headache be related to high sugar intake?,Meningitis
My chest has been cough. What could be causing this?,Asthma
"Recently, I noticed chills, and it's getting worse. Should I be concerned?",Pneumonia
Could muscle pain be related to smoking?,Polymyositis
Could joint pain be related to high sugar intake?,Gout
My head has been seizures. What could be causing this?,Epilepsy
I've been feeling difficulty breathing for the past few days. What could be the reason?,Pulmonary edema
I've been feeling sweating for the past few days. What could be the reason?,Tuberculosis
Is it normal to have abdominal pain along with nausea?,Appendicitis
I've had congestion since last night. Could it be due to poor diet?,Allergies
My chest has been confusion. What could be causing this?,Brain infection encephalitis
Is it normal to have body aches along with dizziness?,Lyme disease
"Whenever I exercising, I experience body aches. Is this a medical condition?",Fibromyalgia
Is it normal to have vomiting along with weakness?,Food poisoning
I've been feeling dizziness for the past few days. What could be the reason?,Anemia
I've been feeling muscle pain for the past few days. What could be the reason?,Polymyositis
I've had stomach cramps since last night. Could it be due to stress?,Gastritis
Can redness be a sign of something serious?,Rosacea
Is it normal to have swelling along with headache?,Angioedema
Can loss of appetite be a sign of something serious?,Cancer
Is it normal to have constipation along with dizziness?,Colon obstruction
Could high fever be related to smoking?,Typhoid fever
"Recently, I noticed weakness, and it's getting worse. Should I be concerned?",Neuropathy
My chest has been headache. What could be causing this?,Migraine
"Whenever I exercising, I experience diarrhea. Is this a medical condition?",Crohns disease
I've had weight loss since last night. Could it be due to stress?,Tuberculosis
Is it normal to have chills along with weakness?,COVID-19
Is it normal to have diarrhea along with fatigue?,Cholera
Could diarrhea be related to alcohol consumption?,Cholera
My arms has been itching. What could be causing this?,Scabies
I've been dealing with diarrhea for a week now. What should I do?,Food poisoning
My legs has been muscle pain. What could be causing this?,Viral infection flu
"Recently, I noticed seizures, and it's getting worse. Should I be concerned?",Epilepsy
I've had redness since last night. Could it be due to lack of sleep?,Contact dermatitis
My head has been bloating. What could be causing this?,IBS
Can excessive thirst be a sign of something serious?,Hypercalcemia
Can shortness of breath be a sign of something serious?,Pulmonary embolism
I've been dealing with excessive thirst for a week now. What should I do?,Dehydration
Is it normal to have stomach cramps along with headache?,Menstrual cramps
I've been feeling shortness of breath for the past few days. What could be the reason?,Pulmonary embolism
Is it normal to have congestion along with headache?,Influenza
Is it normal to have constipation along with dizziness?,Dehydration
I've been feeling seizures for the past few days. What could be the reason?,Stroke
I've been feeling headache for the past few days. What could be the reason?,Tension headache
"Recently, I noticed confusion, and it's getting worse. Should I be concerned?",Hypoglycemia
"Recently, I noticed dizziness, and it's getting worse. Should I be concerned?",Dehydration
My arms has been swelling. What could be causing this?,Arthritis
"Recently, I noticed cough, and it's getting worse. Should I be concerned?",COVID-19
Is it normal to have headache along with dizziness?,Migraine
Could stomach cramps be related to high sugar intake?,IBS
Can vomiting be a sign of something serious?,Gastroenteritis
Is it normal to have numbness along with fatigue?,Peripheral neuropathy
My arms has been seizures. What could be causing this?,Stroke
Is it normal to have abdominal pain along with headache?,Appendicitis
"Whenever I exercising, I experience chest pain. Is this a medical condition?",Heart attack
"Whenever I walking, I experience abdominal pain. Is this a medical condition?",Appendicitis
I've been dealing with blisters for a week now. What should I do?,Chickenpox
Can memory loss be a sign of something serious?,Vitamin B12 deficiency
I've been dealing with cough for a week now. What should I do?,Tuberculosis
"Recently, I noticed fatigue, and it's getting worse. Should I be concerned?",Depression
Could swelling be related to lack of exercise?,Arthritis
I've had constipation since last night. Could it be due to dehydration?,Dehydration
I've been feeling congestion for the past few days. What could be the reason?,Sinusitis
I've been feeling weakness for the past few days. What could be the reason?,Malnutrition
I've been dealing with stomach cramps for a week now. What should I do?,Gastritis
"Recently, I noticed excessive thirst, and it's getting worse. Should I be concerned?",Hypercalcemia
My chest has been excessive thirst. What could be causing this?,Dehydration
Is it normal to have excessive thirst along with headache?,Dehydration
Could bloating be related to alcohol consumption?,Lactose intolerance
Is it normal to have high fever along with fatigue?,Malaria
Can confusion be a sign of something serious?,Alzheimers
I've been dealing with vomiting for a week now. What should I do?,Migraine
I've been dealing with itching for a week now. What should I do?,Scabies
Could itching be related to alcohol consumption?,Fungal infections
I've been feeling constipation for the past few days. What could be the reason?,IBS
I've been dealing with stomach cramps for a week now. What should I do?,Gastritis
Experiencing excessive thirst along with mild discomfort. Do I need to see a doctor?,Diabetes
"Whenever I climbing stairs, I experience excessive thirst. Is this a medical condition?",Diabetes
Is it normal to have chest pain along with weakness?,Pneumonia
I've had chest pain since last night. Could it be due to seasonal changes?,GERD
Is it normal to have abdominal pain along with weakness?,Peptic ulcer
Can constipation be a sign of something serious?,Colon obstruction
I've been feeling high fever for the past few days. What could be the reason?,Typhoid fever
"Recently, I noticed weight loss, and it's getting worse. Should I be concerned?",Hyperthyroidism
